,Unnamed: 0,text,date,user,location,Clean_Tweet
1366,1366,RT @JewishVoice: Man Forces to Get Vaccine to Receive Transplant Dies After Moderna Shot - https://t.co/iaVsO2LbLa #CovidVaccine @moderna_t…,2021-12-01 23:22:27,Lakota54,,: Man to Get Vaccine to Receive Transplant After Shot - t …
1367,1367,“fuck a booster shot. give me that master shot” - my fathers gf #OmicronVarient #BoosterShot,2021-12-01 23:21:34,babyloves9988,"Minneapolis, MN",“ a booster shot . give me that master shot ” - my
1368,1368,"Received my first dose of #Moderna for my #BoosterShot yesterday

Bisexual men dating women use vibrators more freq… https://t.co/HbwMiuEd4k",2021-12-01 23:21:20,DrJarryd,"San Diego, California (CA)",Received my first dose of for my yesterday Bisexual men dating use more …
1369,1369,"RT @csu_scientist: The first case of #OmicronVariant detected in the #UnitedStates. #COVID19 #Omicron 

“The person, who had had the full t…",2021-12-01 23:19:53,TimothySNull,"San Jose, CA","scientist : The first case of in the . COVID Omicron “ The person , who had had the full t …"
1370,1370,I encourage everyone to get your #BoosterShot I got mine today! Please #GetVaccinated and get your #BoosterJab as s… https://t.co/upsn0QVw0y,2021-12-01 23:18:50,TurnTwo363,The Beaver State,I encourage everyone to get your I got mine today ! Please and get your as s …
1371,1371,RT @TaisonBell: This is not a surprise but shows that the #OmicronVariant is here and has been here. What to do now is the same as what we…,2021-12-01 23:15:39,mojo_sec,,: This is not a surprise but that the is here and been here . What to do now is the same as what we …
1372,1372,RT @SiFrew: My ‘last’ dinner before my #boostershot tomorrow. @FischersLondon was the right choice. Mouthwatering #food &amp; charming #service…,2021-12-01 23:15:21,SiFrew,"Barbican, London EC2",: My ‘ last ’ dinner before my tomorrow . was the right choice . food & ; charming service …
1373,1373,My ‘last’ dinner before my #boostershot tomorrow. @FischersLondon was the right choice. Mouthwatering #food &amp; charm… https://t.co/JSSDLcP1sH,2021-12-01 23:14:32,SiFrew,"Barbican, London EC2",My ‘ last ’ dinner before my tomorrow . was the right choice . food & ; charm …
1374,1374,RT @TogetherWeMask: UC San Francisco detected the first case of #Omicron in the U.S. Support Awareness of Critical Preventive Measures. Spr…,2021-12-01 23:09:27,LaBrujaRoja,Everywhere and Nowhere,: San the first case of Omicron in the U . S . Support Awareness of Critical Preventive . …
1375,1375,"RT @elisha1022: Brandolini's law …is an internet adage that emphasizes the difficulty of debunking false, facetious, or otherwise misleadin…",2021-12-01 23:05:48,XtinaSanti80,"Nunyo, Texas",": ' s law … is an adage that the difficulty of false , facetious , or otherwise …"
1376,1376,"How about another #maskmandate ? need an extra #boostershot  or 3 ?
The #MoronicVariant .How many people were hospi… https://t.co/Nnu6dxcToW",2021-12-01 23:04:37,DoctorSunTzu,,How about another ? need an extra or  ? The . How many people were …
1377,1377,RT @CheriDiNovo: MILLIONS of vaccines in our freezers Nov 30: millions ready for a third #BoosterShot. Other countries can do it. Can we? @…,2021-12-01 23:04:25,sh_mdh3,,: MILLIONS of in our  : millions ready for a third . Other can do it . Can we ?
1378,1378,"Netherlands C19 News Update:
- people over the age of 60 shall receive their #BoosterShot by the end of this year.",2021-12-01 23:04:24,DrZemouri,"Amsterdam, Nederland",C News Update : - people over the age of  shall receive their by the end of this year .
1379,1379,RT @TogetherWeMask: UC San Francisco detected the first case of #Omicron in the U.S. Support Awareness of Critical Preventive Measures. Spr…,2021-12-01 22:59:54,dianaberrent,"Washington, DC",: San the first case of Omicron in the U . S . Support Awareness of Critical Preventive . …
1380,1380,Boosted! And I am both boosted and flu shotted… I know that’s not a word #covidvacccine #boostershot #health… https://t.co/Q50QHUz4pZ,2021-12-01 22:59:20,Macnatty,"Rego Park, NY",! And I am both and flu shotted … I know that ’ s not a word health …
1381,1381,RT @TogetherWeMask: UC San Francisco detected the first case of #Omicron in the U.S. Support Awareness of Critical Preventive Measures. Spr…,2021-12-01 22:59:04,doritmi,"Bay Area, CA",: San the first case of Omicron in the U . S . Support Awareness of Critical Preventive . …
1382,1382,RT @TogetherWeMask: UC San Francisco detected the first case of #Omicron in the U.S. Support Awareness of Critical Preventive Measures. Spr…,2021-12-01 22:58:13,TimothyBSnow,the first state,: San the first case of Omicron in the U . S . Support Awareness of Critical Preventive . …
1383,1383,RT @TogetherWeMask: UC San Francisco detected the first case of #Omicron in the U.S. Support Awareness of Critical Preventive Measures. Spr…,2021-12-01 22:58:00,teensforvaxx,"California, USA",: San the first case of Omicron in the U . S . Support Awareness of Critical Preventive . …
1384,1384,Glad to welcome @KingJames to #reality - wait for @CDC_eHealth @CDCemergency to roll out more #Booster #BoosterShot… https://t.co/cLS5YrEida,2021-12-01 22:53:51,TMan1040,"Edison, NJ",Glad to welcome to reality - wait for to roll out more Booster …
1385,1385,RT @TogetherWeMask: UC San Francisco detected the first case of #Omicron in the U.S. Support Awareness of Critical Preventive Measures. Spr…,2021-12-01 22:52:14,MsJulieSLam,"Manhattan, NY",: San the first case of Omicron in the U . S . Support Awareness of Critical Preventive . …
1386,1386,Just got my #BoosterShot and our 6-year old will be fully vaccinated before Christmas. #GetVaccinatedNow 💉✔,2021-12-01 22:51:25,chadmathews,"Fort Worth, TX",Just got my and our  - year old will be fully before . 💉✔
